country,iso3,who_region,month_start,month_lab,cases,deaths
Andorra,AND,EURO,2022/7/1,2022-07,3,0
Andorra,AND,EURO,2022/8/1,2022-08,1,0
Andorra,AND,EURO,2022/9/1,2022-09,0,0
Andorra,AND,EURO,2022/10/1,2022-10,0,0
Andorra,AND,EURO,2022/11/1,2022-11,0,0
Andorra,AND,EURO,2022/12/1,2022-12,0,0
Andorra,AND,EURO,2023/1/1,2023-01,0,0
Andorra,AND,EURO,2023/2/1,2023-02,0,0
Andorra,AND,EURO,2023/3/1,2023-03,0,0
Andorra,AND,EURO,2023/4/1,2023-04,0,0
Andorra,AND,EURO,2023/5/1,2023-05,0,0
Andorra,AND,EURO,2023/6/1,2023-06,0,0
Andorra,AND,EURO,2023/7/1,2023-07,0,0
Andorra,AND,EURO,2023/8/1,2023-08,0,0
Andorra,AND,EURO,2023/9/1,2023-09,0,0
Andorra,AND,EURO,2023/10/1,2023-10,0,0
Andorra,AND,EURO,2023/11/1,2023-11,0,0
Andorra,AND,EURO,2023/12/1,2023-12,0,0
Andorra,AND,EURO,2024/1/1,2024-01,0,0
Andorra,AND,EURO,2024/2/1,2024-02,0,0
Andorra,AND,EURO,2024/3/1,2024-03,0,0
Andorra,AND,EURO,2024/4/1,2024-04,0,0
Andorra,AND,EURO,2024/5/1,2024-05,0,0
Andorra,AND,EURO,2024/6/1,2024-06,0,0
Andorra,AND,EURO,2024/7/1,2024-07,0,0
Andorra,AND,EURO,2024/8/1,2024-08,0,0
Andorra,AND,EURO,2024/9/1,2024-09,0,0
Argentina,ARG,AMRO,2022/5/1,2022-05,2,0
Argentina,ARG,AMRO,2022/6/1,2022-06,4,0
Argentina,ARG,AMRO,2022/7/1,2022-07,27,0
Argentina,ARG,AMRO,2022/8/1,2022-08,178,1
Argentina,ARG,AMRO,2022/9/1,2022-09,272,0
Argentina,ARG,AMRO,2022/10/1,2022-10,283,1
Argentina,ARG,AMRO,2022/11/1,2022-11,205,0
Argentina,ARG,AMRO,2022/12/1,2022-12,54,0
Argentina,ARG,AMRO,2023/1/1,2023-01,67,0
Argentina,ARG,AMRO,2023/2/1,2023-02,25,0
Argentina,ARG,AMRO,2023/3/1,2023-03,11,0
Argentina,ARG,AMRO,2023/4/1,2023-04,2,0
Argentina,ARG,AMRO,2023/5/1,2023-05,3,0
Argentina,ARG,AMRO,2023/6/1,2023-06,0,0
Argentina,ARG,AMRO,2023/7/1,2023-07,1,0
Argentina,ARG,AMRO,2023/8/1,2023-08,1,0
Argentina,ARG,AMRO,2023/9/1,2023-09,3,0
Argentina,ARG,AMRO,2023/10/1,2023-10,5,0
Argentina,ARG,AMRO,2023/11/1,2023-11,3,0
Argentina,ARG,AMRO,2023/12/1,2023-12,3,0
Argentina,ARG,AMRO,2024/1/1,2024-01,1,0
Argentina,ARG,AMRO,2024/2/1,2024-02,0,0
Argentina,ARG,AMRO,2024/3/1,2024-03,0,0
Argentina,ARG,AMRO,2024/4/1,2024-04,0,0
Argentina,ARG,AMRO,2024/5/1,2024-05,0,0
Argentina,ARG,AMRO,2024/6/1,2024-06,0,0
Argentina,ARG,AMRO,2024/7/1,2024-07,5,0
Argentina,ARG,AMRO,2024/8/1,2024-08,26,0
Argentina,ARG,AMRO,2024/9/1,2024-09,38,0
Aruba,ABW,AMRO,2022/8/1,2022-08,2,0
Aruba,ABW,AMRO,2022/9/1,2022-09,1,0
Aruba,ABW,AMRO,2022/10/1,2022-10,0,0
Aruba,ABW,AMRO,2022/11/1,2022-11,0,0
Aruba,ABW,AMRO,2022/12/1,2022-12,0,0
Aruba,ABW,AMRO,2023/1/1,2023-01,0,0
Aruba,ABW,AMRO,2023/2/1,2023-02,0,0
Aruba,ABW,AMRO,2023/3/1,2023-03,0,0
Aruba,ABW,AMRO,2023/4/1,2023-04,0,0
Aruba,ABW,AMRO,2023/5/1,2023-05,0,0
Aruba,ABW,AMRO,2023/6/1,2023-06,0,0
Aruba,ABW,AMRO,2023/7/1,2023-07,0,0
Aruba,ABW,AMRO,2023/8/1,2023-08,0,0
Aruba,ABW,AMRO,2023/9/1,2023-09,0,0
Aruba,ABW,AMRO,2023/10/1,2023-10,0,0
Aruba,ABW,AMRO,2023/11/1,2023-11,0,0
Aruba,ABW,AMRO,2023/12/1,2023-12,0,0
Aruba,ABW,AMRO,2024/1/1,2024-01,0,0
Aruba,ABW,AMRO,2024/2/1,2024-02,0,0
Aruba,ABW,AMRO,2024/3/1,2024-03,0,0
Aruba,ABW,AMRO,2024/4/1,2024-04,0,0
Aruba,ABW,AMRO,2024/5/1,2024-05,0,0
Aruba,ABW,AMRO,2024/6/1,2024-06,0,0
Aruba,ABW,AMRO,2024/7/1,2024-07,0,0
Aruba,ABW,AMRO,2024/8/1,2024-08,0,0
Aruba,ABW,AMRO,2024/9/1,2024-09,0,0
Australia,AUS,WPRO,2022/5/1,2022-05,2,0
Australia,AUS,WPRO,2022/6/1,2022-06,10,0
Australia,AUS,WPRO,2022/7/1,2022-07,33,0
Australia,AUS,WPRO,2022/8/1,2022-08,61,0
Australia,AUS,WPRO,2022/9/1,2022-09,30,0
Australia,AUS,WPRO,2022/10/1,2022-10,4,0
Australia,AUS,WPRO,2022/11/1,2022-11,3,0
Australia,AUS,WPRO,2022/12/1,2022-12,1,0
Australia,AUS,WPRO,2023/2/1,2023-02,1,0
Australia,AUS,WPRO,2023/4/1,2023-04,2,0
Australia,AUS,WPRO,2023/5/1,2023-05,1,0
Australia,AUS,WPRO,2023/6/1,2023-06,1,0
Australia,AUS,WPRO,2023/7/1,2023-07,7,0
Australia,AUS,WPRO,2023/8/1,2023-08,3,0
Australia,AUS,WPRO,2023/9/1,2023-09,5,0
Australia,AUS,WPRO,2023/10/1,2023-10,2,0
Australia,AUS,WPRO,2023/11/1,2023-11,2,0
Australia,AUS,WPRO,2023/12/1,2023-12,2,0
Australia,AUS,WPRO,2024/1/1,2024-01,6,0
Australia,AUS,WPRO,2024/4/1,2024-04,5,0
Australia,AUS,WPRO,2024/5/1,2024-05,33,0
Australia,AUS,WPRO,2024/6/1,2024-06,64,0
Australia,AUS,WPRO,2024/7/1,2024-07,101,0
Australia,AUS,WPRO,2024/8/1,2024-08,245,0
Australia,AUS,WPRO,2024/9/1,2024-09,302,0
Austria,AUT,EURO,2022/5/1,2022-05,1,0
Austria,AUT,EURO,2022/6/1,2022-06,19,0
Austria,AUT,EURO,2022/7/1,2022-07,98,0
Austria,AUT,EURO,2022/8/1,2022-08,147,0
Austria,AUT,EURO,2022/9/1,2022-09,48,0
Austria,AUT,EURO,2022/10/1,2022-10,10,0
Austria,AUT,EURO,2022/11/1,2022-11,3,0
Austria,AUT,EURO,2022/12/1,2022-12,1,0
Austria,AUT,EURO,2023/1/1,2023-01,0,0
Austria,AUT,EURO,2023/2/1,2023-02,0,0
Austria,AUT,EURO,2023/3/1,2023-03,0,0
Austria,AUT,EURO,2023/4/1,2023-04,1,0
Austria,AUT,EURO,2023/5/1,2023-05,0,0
Austria,AUT,EURO,2023/6/1,2023-06,0,0
Austria,AUT,EURO,2023/7/1,2023-07,0,0
Austria,AUT,EURO,2023/8/1,2023-08,0,0
Austria,AUT,EURO,2023/9/1,2023-09,2,0
Austria,AUT,EURO,2023/10/1,2023-10,1,0
Austria,AUT,EURO,2023/11/1,2023-11,2,0
Austria,AUT,EURO,2023/12/1,2023-12,5,0
Austria,AUT,EURO,2024/1/1,2024-01,3,0
Austria,AUT,EURO,2024/2/1,2024-02,4,1
Austria,AUT,EURO,2024/3/1,2024-03,0,0
Austria,AUT,EURO,2024/4/1,2024-04,1,0
Austria,AUT,EURO,2024/5/1,2024-05,2,0
Austria,AUT,EURO,2024/6/1,2024-06,0,0
Austria,AUT,EURO,2024/7/1,2024-07,0,0
Austria,AUT,EURO,2024/8/1,2024-08,2,0
Austria,AUT,EURO,2024/9/1,2024-09,3,0
Bahamas,BHS,AMRO,2022/6/1,2022-06,1,0
Bahamas,BHS,AMRO,2022/7/1,2022-07,0,0
Bahamas,BHS,AMRO,2022/8/1,2022-08,1,0
Bahamas,BHS,AMRO,2022/9/1,2022-09,0,0
Bahamas,BHS,AMRO,2022/10/1,2022-10,0,0
Bahamas,BHS,AMRO,2022/11/1,2022-11,0,0
Bahamas,BHS,AMRO,2022/12/1,2022-12,0,0
Bahamas,BHS,AMRO,2023/1/1,2023-01,0,0
